type,title,cast,release_year,duration,listed_in,plataform
Movie,Dick Johnson Is Dead,,2020,90,Documentaries,netflix
TV Show,Blood & Water,"Ama Qamata, Khosi Ngema, Gail Mabalane, Thabang Molaba, Dillon Windvogel, Natasha Thahane, Arno Greeff, Xolile Tshabalala, Getmore Sithole, Cindy Mahlangu, Ryle De Morny, Greteli Fincham, Sello Maake Ka-Ncube, Odwa Gwanya, Mekaila Mathys, Sandi Schultz, Duane Williams, Shamilla Miller, Patrick Mofokeng",2021,2,"International TV Shows, TV Dramas, TV Mysteries",netflix
TV Show,Ganglands,"Sami Bouajila, Tracy Gotoas, Samuel Jouy, Nabiha Akkari, Sofia Lesaffre, Salim Kechiouche, Noureddine Farihi, Geert Van Rampelberg, Bakary Diombera",2021,1,"Crime TV Shows, International TV Shows, TV Action & Adventure",netflix
TV Show,Jailbirds New Orleans,,2021,1,"Docuseries, Reality TV",netflix
TV Show,Kota Factory,"Mayur More, Jitendra Kumar, Ranjan Raj, Alam Khan, Ahsaas Channa, Revathi Pillai, Urvi Singh, Arun Kumar",2021,2,"International TV Shows, Romantic TV Shows, TV Comedies",netflix
TV Show,Midnight Mass,"Kate Siegel, Zach Gilford, Hamish Linklater, Henry Thomas, Kristin Lehman, Samantha Sloyan, Igby Rigney, Rahul Kohli, Annarah Cymone, Annabeth Gish, Alex Essoe, Rahul Abburi, Matt Biedel, Michael Trucco, Crystal Balint, Louis Oliver",2021,1,"TV Dramas, TV Horror, TV Mysteries",netflix
Movie,My Little Pony: A New Generation,"Vanessa Hudgens, Kimiko Glenn, James Marsden, Sofia Carson, Liza Koshy, Ken Jeong, Elizabeth Perkins, Jane Krakowski, Michael McKean, Phil LaMarr",2021,91,Children & Family Movies,netflix
Movie,Sankofa,"Kofi Ghanaba, Oyafunmike Ogunlano, Alexandra Duah, Nick Medley, Mutabaruka, Afemo Omilami, Reggie Carter, Mzuri",1993,125,"Dramas, Independent Movies, International Movies",netflix
TV Show,The Great British Baking Show,"Mel Giedroyc, Sue Perkins, Mary Berry, Paul Hollywood",2021,9,"British TV Shows, Reality TV",netflix
Movie,The Starling,"Melissa McCarthy, Chris O'Dowd, Kevin Kline, Timothy Olyphant, Daveed Diggs, Skyler Gisondo, Laura Harrier, Rosalind Chao, Kimberly Quinn, Loretta Devine, Ravi Kapoor",2021,104,"Comedies, Dramas",netflix
TV Show,"Vendetta: Truth, Lies and The Mafia",,2021,1,"Crime TV Shows, Docuseries, International TV Shows",netflix
TV Show,Bangkok Breaking,"Sukollawat Kanarot, Sushar Manaying, Pavarit Mongkolpisit, Sahajak Boonthanakit, Suthipongse Thatphithakkul, Bhasaworn Bawronkirati, Daweerit Chullasapya, Waratthaya Wongchayaporn, Kittiphoom Wongpentak, Abhicha Thanachanun, Nophand Boonyai, Kittipong Khamsat, Arisara Wongchalee, Jaytiya Naiwattanakul, Pantipa Arunwattanachai, Panupan Jantanawong, Kungtap Saelim, Phumphat Chartsuriyakiat, Issara Veranitinunt, Keerati Sivakuae, Panjai Sirisuwan, Supranee Charoenpol, Suda Chuenban, Visaka Banhansupavat, Pitchatorn Santinatornkul",2021,1,"Crime TV Shows, International TV Shows, TV Action & Adventure",netflix
Movie,Je Suis Karl,"Luna Wedler, Jannis Niewöhner, Milan Peschel, Edin Hasanović, Anna Fialová, Marlon Boess, Victor Boccard, Fleur Geffrier, Aziz Dyab, Mélanie Fouché, Elizaveta Maximová",2021,127,"Dramas, International Movies",netflix
Movie,Confessions of an Invisible Girl,"Klara Castanho, Lucca Picon, Júlia Gomes, Marcus Bessa, Kiria Malheiros, Fernanda Concon, Gabriel Lima, Caio Cabral, Leonardo Cidade, Jade Cardozo",2021,91,"Children & Family Movies, Comedies",netflix
TV Show,Crime Stories: India Detectives,,2021,1,"British TV Shows, Crime TV Shows, Docuseries",netflix
TV Show,Dear White People,"Logan Browning, Brandon P. Bell, DeRon Horton, Antoinette Robertson, John Patrick Amedori, Ashley Blaine Featherson, Marque Richardson, Giancarlo Esposito",2021,4,"TV Comedies, TV Dramas",netflix
Movie,Europe's Most Dangerous Man: Otto Skorzeny in Spain,,2020,67,"Documentaries, International Movies",netflix
TV Show,Falsa identidad,"Luis Ernesto Franco, Camila Sodi, Sergio Goyri, Samadhi Zendejas, Eduardo Yáñez, Sonya Smith, Alejandro Camacho, Azela Robinson, Uriel del Toro, Géraldine Bazán, Gabriela Roel, Marcus Ornellas",2020,2,"Crime TV Shows, Spanish-Language TV Shows, TV Dramas",netflix
Movie,Intrusion,"Freida Pinto, Logan Marshall-Green, Robert John Burke, Megan Elisabeth Kelly, Sarah Minnich, Hayes Hargrove, Mark Sivertsen, Brandon Fierro, Antonio Valles, Clint Obenchain",2021,94,Thrillers,netflix
TV Show,Jaguar,"Blanca Suárez, Iván Marcos, Óscar Casas, Adrián Lastra, Francesc Garrido, Stefan Weinert, Julia Möller, Alicia Chojnowski",2021,1,"International TV Shows, Spanish-Language TV Shows, TV Action & Adventure",netflix
TV Show,Monsters Inside: The 24 Faces of Billy Milligan,,2021,1,"Crime TV Shows, Docuseries, International TV Shows",netflix
TV Show,Resurrection: Ertugrul,"Engin Altan Düzyatan, Serdar Gökhan, Hülya Darcan, Kaan Taşaner, Esra Bilgiç, Osman Soykut, Serdar Deniz, Cengiz Coşkun, Reshad Strik, Hande Subaşı",2018,5,"International TV Shows, TV Action & Adventure, TV Dramas",netflix
Movie,Avvai Shanmughi,"Kamal Hassan, Meena, Gemini Ganesan, Heera Rajgopal, Nassar, S.P. Balasubrahmanyam",1996,161,"Comedies, International Movies",netflix
Movie,Go! Go! Cory Carson: Chrissy Takes the Wheel,"Maisie Benson, Paul Killam, Kerry Gudjohnsen, AC Lim",2021,61,Children & Family Movies,netflix
Movie,Jeans,"Prashanth, Aishwarya Rai Bachchan, Sri Lakshmi, Nassar",1998,166,"Comedies, International Movies, Romantic Movies",netflix
TV Show,Love on the Spectrum,Brooke Satchwell,2021,2,"Docuseries, International TV Shows, Reality TV",netflix
Movie,Minsara Kanavu,"Arvind Swamy, Kajol, Prabhu Deva, Nassar, S.P. Balasubrahmanyam, Girish Karnad",1997,147,"Comedies, International Movies, Music & Musicals",netflix
Movie,Grown Ups,"Adam Sandler, Kevin James, Chris Rock, David Spade, Rob Schneider, Salma Hayek, Maria Bello, Maya Rudolph, Colin Quinn, Tim Meadows, Joyce Van Patten",2010,103,Comedies,netflix
Movie,Dark Skies,"Keri Russell, Josh Hamilton, J.K. Simmons, Dakota Goyo, Kadan Rockett, L.J. Benet, Rich Hutchman, Myndy Crist, Annie Thurman, Jake Brennan",2013,97,"Horror Movies, Sci-Fi & Fantasy",netflix
Movie,Paranoia,"Liam Hemsworth, Gary Oldman, Amber Heard, Harrison Ford, Lucas Till, Embeth Davidtz, Julian McMahon, Josh Holloway, Richard Dreyfuss, Angela Sarafyan",2013,106,Thrillers,netflix
Movie,Ankahi Kahaniya,"Abhishek Banerjee, Rinku Rajguru, Delzad Hiwale, Kunal Kapoor, Zoya Hussain, Nikhil Dwivedi, Palomi Ghosh",2021,111,"Dramas, Independent Movies, International Movies",netflix
TV Show,Chicago Party Aunt,"Lauren Ash, Rory O'Malley, RuPaul Charles, Jill Talley, Ike Barinholtz, Jon Barinholtz, Matthew Craig, Bob Odenkirk, Mike Hagerty, Katie Rich, Chris Witaske",2021,1,TV Comedies,netflix
TV Show,Sex Education,"Asa Butterfield, Gillian Anderson, Ncuti Gatwa, Emma Mackey, Connor Swindells, Kedar Williams-Stirling, Alistair Petrie",2020,3,"British TV Shows, International TV Shows, TV Comedies",netflix
TV Show,Squid Game,"Lee Jung-jae, Park Hae-soo, Wi Ha-jun, Oh Young-soo, Jung Ho-yeon, Heo Sung-tae, Kim Joo-ryoung, Tripathi Anupam, You Seong-joo, Lee You-mi",2021,1,"International TV Shows, TV Dramas, TV Thrillers",netflix
TV Show,Tayo and Little Wizards,"Dami Lee, Jason Lee, Bommie Catherine Han, Jennifer Waescher, Nancy Kim",2020,1,Kids' TV,netflix
Movie,The Father Who Moves Mountains,"Adrian Titieni, Elena Purea, Judith State, Valeriu Andriuță, Tudor Smoleanu, Virgil Aioanei, Radu Botar, Petronela Grigorescu, Bogdan Nechifor, Cristian Bota",2021,110,"Dramas, International Movies, Thrillers",netflix
Movie,The Stronghold,"Gilles Lellouche, Karim Leklou, François Civil, Adèle Exarchopoulos, Kenza Fortas, Cyril Lecomte, Michaël Abiteboul, Idir Azougli, Vincent Darmuzey, Jean-Yves Berteloot",2021,105,"Action & Adventure, Dramas, International Movies",netflix
TV Show,Angry Birds,"Antti Pääkkönen, Heljä Heikkinen, Lynne Guaglione, Pasi Ruohonen, Rauno Ahonen",2018,1,"Kids' TV, TV Comedies",netflix
Movie,Birth of the Dragon,"Billy Magnussen, Ron Yuan, Qu Jingjing, Terry Chen, Vanness Wu, Jin Xing, Philip Ng, Xia Yu, Yu Xia",2017,96,"Action & Adventure, Dramas",netflix
TV Show,Chhota Bheem,"Vatsal Dubey, Julie Tejwani, Rupa Bhimani, Jigna Bhardwaj, Rajesh Kava, Mousam, Swapnil",2021,3,Kids' TV,netflix
TV Show,He-Man and the Masters of the Universe,"Yuri Lowenthal, Kimberly Brooks, Antony Del Rio, Trevor Devall, Ben Diskin, Grey Griffin, David Kaye, Tom Kenny, Judy Alice Lee, Roger Craig Smith, Fred Tatasciore",2021,1,"Kids' TV, TV Sci-Fi & Fantasy",netflix
Movie,Jaws,"Roy Scheider, Robert Shaw, Richard Dreyfuss, Lorraine Gary, Murray Hamilton, Carl Gottlieb, Jeffrey Kramer, Susan Backlinie, Jonathan Filley, Ted Grossman",1975,124,"Action & Adventure, Classic Movies, Dramas",netflix
Movie,Jaws 2,"Roy Scheider, Lorraine Gary, Murray Hamilton, Joseph Mascolo, Jeffrey Kramer, Collin Wilcox Paxton, Ann Dusenberry, Mark Gruner, Barry Coe, Susan French",1978,116,"Dramas, Horror Movies, Thrillers",netflix
Movie,Jaws 3,"Dennis Quaid, Bess Armstrong, Simon MacCorkindale, Louis Gossett Jr., John Putch, Lea Thompson, P.H. Moriarty, Dan Blasko, Liz Morris, Lisa Maurer",1983,98,"Action & Adventure, Horror Movies, Thrillers",netflix
Movie,Jaws: The Revenge,"Lorraine Gary, Lance Guest, Mario Van Peebles, Karen Young, Michael Caine, Judith Barsi, Mitchell Anderson, Lynn Whitfield",1987,91,"Action & Adventure, Horror Movies, Thrillers",netflix
Movie,My Heroes Were Cowboys,,2021,23,Documentaries,netflix
Movie,Safe House,"Denzel Washington, Ryan Reynolds, Vera Farmiga, Brendan Gleeson, Sam Shepard, Rubén Blades, Nora Arnezeder, Robert Patrick, Liam Cunningham, Joel Kinnaman",2012,115,Action & Adventure,netflix
TV Show,The Smart Money Woman,"Osas Ighodaro, Ini Dima-Okojie, Kemi Lala Akindoju, Toni Tones, Ebenezer Eno, Eso Okolocha DIke, Patrick Diabuah, Karibi Fubara, Temisan Emmanuel, Timini Egbuson",2020,1,"International TV Shows, Romantic TV Shows, TV Comedies",netflix
Movie,Training Day,"Denzel Washington, Ethan Hawke, Scott Glenn, Tom Berenger, Harris Yulin, Raymond J. Barry, Cliff Curtis, Dr. Dre, Snoop Dogg, Macy Gray, Eva Mendes",2001,122,"Dramas, Thrillers",netflix
TV Show,Castle and Castle,"Richard Mofe-Damijo, Dakore Akande, Bimbo Manuel, Blossom Chukwujekwu, Deyemi Okanlawon, Etim Effiong, Denola Grey, Duke Akintola, Eku Edewor, Ade Laoye, Anee Icha, Kevin Ushi, Jude Chukwuka, Amanda Afolabi",2021,2,"International TV Shows, TV Dramas",netflix
TV Show,Dharmakshetra,"Kashmira Irani, Chandan Anand, Dinesh Mehta, Ankit Arora, Pushkar Goggiaa, Anjali Rana, Aarya DharmChand Kumar, Amit Behl, Maleeka Ghai",2014,1,"International TV Shows, TV Dramas, TV Sci-Fi & Fantasy",netflix
Movie,InuYasha the Movie 2: The Castle Beyond the Looking Glass,"Kappei Yamaguchi, Satsuki Yukino, Mieko Harada, Koji Tsujitani, Houko Kuwashima, Kumiko Watanabe, Noriko Hidaka, Kenichi Ogata, Toshiyuki Morikawa, Izumi Ogami",2002,99,"Action & Adventure, Anime Features, International Movies",netflix
Movie,InuYasha the Movie 3: Swords of an Honorable Ruler,"Kappei Yamaguchi, Satsuki Yukino, Koji Tsujitani, Houko Kuwashima, Kumiko Watanabe, Ken Narita, Akio Otsuka, Kikuko Inoue",2003,99,"Action & Adventure, Anime Features, International Movies",netflix
Movie,InuYasha the Movie 4: Fire on the Mystic Island,"Kappei Yamaguchi, Satsuki Yukino, Koji Tsujitani, Houko Kuwashima, Kumiko Watanabe, Noriko Hidaka, Ken Narita, Cho, Mamiko Noto, Nobutoshi Canna",2004,88,"Action & Adventure, Anime Features, International Movies",netflix
Movie,InuYasha the Movie: Affections Touching Across Time,"Kappei Yamaguchi, Satsuki Yukino, Koji Tsujitani, Houko Kuwashima, Kumiko Watanabe, Kenichi Ogata, Noriko Hidaka, Hisako Kyoda, Ken Narita, Tomokazu Seki",2001,100,"Action & Adventure, Anime Features, International Movies",netflix
TV Show,Nailed It,"Nicole Byer, Jacques Torres",2021,6,Reality TV,netflix
Movie,Naruto Shippuden the Movie: Blood Prison,"Junko Takeuchi, Chie Nakamura, Rikiya Koyama, Kazuhiko Inoue, Masaki Terasoma, Mie Sonozaki, Yuichi Nakamura, Kengo Kawanishi, Kosei Hirota, Masako Katsuki",2011,102,"Action & Adventure, Anime Features, International Movies",netflix
Movie,Naruto Shippûden the Movie: Bonds,"Junko Takeuchi, Chie Nakamura, Noriaki Sugiyama, Unsho Ishizuka, Motoko Kumai, Kazuhiko Inoue, Rikiya Koyama, Showtaro Morikubo, Nana Mizuki, Satoshi Hino, Shinji Kawada",2008,93,"Action & Adventure, Anime Features, International Movies",netflix
Movie,Naruto Shippûden the Movie: The Will of Fire,"Junko Takeuchi, Chie Nakamura, Kazuhiko Inoue, Satoshi Hino, Showtaro Morikubo, Kentaro Ito, Ryoka Yuzuki, Kohsuke Toriumi, Nana Mizuki, Shinji Kawada, Yoichi Masukawa, Koichi Tochika, Yukari Tamura",2009,96,"Action & Adventure, Anime Features, International Movies",netflix
Movie,Naruto Shippuden: The Movie,"Junko Takeuchi, Chie Nakamura, Yoichi Masukawa, Koichi Tochika, Ayumi Fujimura, Keisuke Oda, Daisuke Kishio, Fumiko Orikasa, Hidetoshi Nakamura, Tetsuya Kakihara, Kisho Taniyama, Miyuki Sawashiro, Katsuyuki Konishi, Masako Katsuki, Keiko Nemoto, Masashi Ebara, Kazuhiko Inoue, Showtaro Morikubo, Romi Park, Daisuke Ono, Seizo Kato",2007,95,"Action & Adventure, Anime Features, International Movies",netflix
Movie,Naruto Shippuden: The Movie: The Lost Tower,"Junko Takeuchi, Chie Nakamura, Satoshi Hino, Rikiya Koyama, Nobuaki Fukuda, Kenji Hamada, Keiko Nemoto, Saori Hayami, Yumi Toma, Yuko Kobayashi, Fujiko Takimoto, Mutsumi Tamura, Mayuki Makiguchi, Toshiyuki Morikawa",2010,85,"Action & Adventure, Anime Features, International Movies",netflix
Movie,Naruto the Movie 2: Legend of the Stone of Gelel,"Junko Takeuchi, Gamon Kaai, Chie Nakamura, Showtaro Morikubo, Akira Ishida, Yasuyuki Kase, Urara Takano, Sachiko Kojima, Houko Kuwashima, Takako Honda",2005,97,"Action & Adventure, Anime Features, International Movies",netflix
Movie,Naruto the Movie 3: Guardians of the Crescent Moon Kingdom,"Junko Takeuchi, Chie Nakamura, Yoichi Masukawa, Kazuhiko Inoue, Akio Otsuka, Kyousuke Ikeda, Marika Hayashi, Umeji Sasaki, Masashi Sugawara, Hisao Egawa",2006,95,"Action & Adventure, Anime Features, International Movies",netflix
Movie,Naruto the Movie: Ninja Clash in the Land of Snow,"Junko Takeuchi, Noriaki Sugiyama, Chie Nakamura, Kazuhiko Inoue, Yuhko Kaida, Tsutomu Isobe, Hirotaka Suzuoki, Jun Karasawa, Harii Kaneko, Ikuo Nishikawa",2004,83,"Action & Adventure, Anime Features, International Movies",netflix
Movie,Nightbooks,"Winslow Fegley, Lidya Jewett, Krysten Ritter",2021,103,Children & Family Movies,netflix
TV Show,Numberblocks,"Beth Chalmers, David Holt, Marcel McCalla, Teresa Gallagher",2021,6,Kids' TV,netflix
TV Show,Raja Rasoi Aur Anya Kahaniyan,,2014,1,"Docuseries, International TV Shows",netflix
TV Show,Saved by the Bell,"Mark-Paul Gosselaar, Tiffani Thiessen, Mario Lopez, Lark Voorhies, Elizabeth Berkley, Dustin Diamond, Dennis Haskins",1994,9,"Kids' TV, TV Comedies",netflix
Movie,Schumacher,Michael Schumacher,2021,113,"Documentaries, International Movies, Sports Movies",netflix
TV Show,Stories by Rabindranath Tagore,,2015,1,"International TV Shows, TV Dramas",netflix
TV Show,Too Hot To Handle: Latino,Itatí Cantoral,2021,1,"International TV Shows, Reality TV, Romantic TV Shows",netflix
Movie,A StoryBots Space Adventure,"Evan Spiridellis, Erin Fitzgerald, Jeff Gill, Fred Tatasciore, Evan Michael Lee, Jared Isaacman, Sian Proctor, Chris Sembroski, Hayley Arceneaux",2021,13,Children & Family Movies,netflix
TV Show,Jack Whitehall: Travels with My Father,"Jack Whitehall, Michael Whitehall",2021,5,"British TV Shows, Docuseries, International TV Shows",netflix
Movie,King of Boys,"Sola Sobowale, Adesua Etomi, Remilekun ""Reminisce"" Safaru, Tobechukwu ""iLLbliss"" Ejiofor, Toni Tones, Paul Sambo, Jide Kosoko, Sharon Ooja",2018,182,"Dramas, International Movies",netflix
TV Show,The World's Most Amazing Vacation Rentals,,2021,2,Reality TV,netflix
Movie,You vs. Wild: Out Cold,"Bear Grylls, Jason Derek Prempeh",2021,106,Children & Family Movies,netflix
TV Show,Yowamushi Pedal,"Daiki Yamashita, Kohsuke Toriumi, Jun Fukushima, Hiroki Yasumoto, Showtaro Morikubo, Kentaro Ito, Daisuke Kishio, Yoshitsugu Matsuoka, Junichi Suwabe, Ayaka Suwa, Megumi Han, Tomoaki Maeno, Tsubasa Yonaga, Tetsuya Kakihara, Satoshi Hino, Hiroyuki Yoshino, Atsushi Abe, Koji Yusa, Kouki Miyata, Hiro Shimono, Wataru Hatano, Yuichi Nakamura, Kenji Nojima, Mamoru Miyano, Daisuke Ono, Yuma Uchida, Jun Fukuyama",2013,1,"Anime Series, International TV Shows",netflix
Movie,Little Singham - Black Shadow,"Sumriddhi Shukla, Jigna Bharadwaj, Sonal Kaushal, Neshma Chemburkar, Ganesh Divekar, Annamaya Verma, Anamay Verma, Manoj Pandey",2021,48,"Children & Family Movies, Comedies",netflix
Movie,Tughlaq Durbar,"Vijay Sethupathi, Parthiban, Raashi Khanna",2020,145,"Comedies, Dramas, International Movies",netflix
Movie,Tughlaq Durbar (Telugu),"Vijay Sethupathi, Parthiban, Raashi Khanna",2021,145,"Comedies, Dramas, International Movies",netflix
Movie,Firedrake the Silver Dragon,"Thomas Brodie-Sangster, Felicity Jones, Freddie Highmore, Patrick Stewart, Meera Syal, Sanjeev Bhaskar, Nonso Anozie",2021,93,Children & Family Movies,netflix
Movie,Kate,"Mary Elizabeth Winstead, Jun Kunimura, Woody Harrelson, Tadanobu Asano, Miyavi, Michiel Huisman, Miku Martineau",2021,106,Action & Adventure,netflix
TV Show,Lucifer,"Tom Ellis, Lauren German, Kevin Alejandro, D.B. Woodside, Lesley-Ann Brandt, Scarlett Estevez, Rachael Harris, Aimee Garcia, Tricia Helfer, Tom Welling, Jeremiah W. Birkett, Pej Vahdat, Michael Gladis",2021,6,"Crime TV Shows, TV Comedies, TV Dramas",netflix
TV Show,Metal Shop Masters,Jo Koy,2021,1,Reality TV,netflix
Movie,Omo Ghetto: the Saga,"Funke Akindele, Ayo Makun, Chioma Chukwuka Akpotha, Yemi Eberechi Alade, Blossom Chukwujekwu, Deyemi Okanlawon, Alexx Ekubo, Zubby Michael, Tina Mba, Femi Jacobs",2020,147,"Action & Adventure, Comedies, Dramas",netflix
TV Show,Pokémon Master Journeys: The Series,"Ikue Otani, Sarah Natochenny, Zeno Robinson, Cherami Leigh, James Carter Cathcart, Michele Knotz, Rodger Parsons, Ray Chase, Casey Mongillo, Tara Sands",2021,1,"Anime Series, Kids' TV",netflix
Movie,Prey,"David Kross, Hanno Koffler, Maria Ehrich, Robert Finster, Yung Ngo, Klaus Steinbacher, Livia Matthes, Nellie Thalbach",2021,87,"International Movies, Thrillers",netflix
TV Show,Titipo Titipo,"Jeon Hae-ri, Kim Eun-ah, Hong Bum-ki, Nam Do-hyeong, Um Sang-hyun",2019,2,"Kids' TV, Korean TV Shows",netflix
Movie,Blood Brothers: Malcolm X & Muhammad Ali,"Malcolm X, Muhammad Ali",2021,96,"Documentaries, Sports Movies",netflix
TV Show,Mighty Raju,"Julie Tejwani, Sabina Malik, Jigna Bhardwaj, Rupa Bhimani, Lalit Agarwal, Rajesh Shukla, Rajesh Kava",2017,4,Kids' TV,netflix
Movie,Paradise Hills,"Emma Roberts, Danielle Macdonald, Awkwafina, Eiza González, Milla Jovovich, Jeremy Irvine, Arnaud Valois, Daniel Horvath",2019,95,"Sci-Fi & Fantasy, Thrillers",netflix
Movie,The Women and the Murderer,,2021,92,"Documentaries, International Movies",netflix
TV Show,Into the Night,"Pauline Etienne, Laurent Capelluto, Stefano Cassetti, Mehmet Kurtuluş, Babetida Sadjo, Jan Bijvoet, Ksawery Szlenkier, Vincent Londez, Regina Bikkinina, Alba Gaïa Kraghede Bellugi, Nabil Mallat",2021,2,"International TV Shows, TV Dramas, TV Mysteries",netflix
Movie,JJ+E,"Elsa Öhrn, Mustapha Aarab, Jonay Pineda Skallak, Magnus Krepper, Loreen, Albin Grenholm, Simon Mezher, Elsa Bergström Terent, Josef Kadim, Yohannes Frezgi",2021,91,"Dramas, International Movies, Romantic Movies",netflix
Movie,Show Dogs,"Will Arnett, Ludacris, Natasha Lyonne, Stanley Tucci, Jordin Sparks, Gabriel Iglesias, Shaquille O'Neal, Omar Chaparro, Alan Cumming, Andy Beckwith, Delia Sheppard, Kerry Shale",2018,90,"Children & Family Movies, Comedies",netflix
TV Show,The Circle,Michelle Buteau,2021,3,Reality TV,netflix
Movie,If I Leave Here Tomorrow: A Film About Lynyrd Skynyrd,"Ronnie Van Zandt, Gary Rossington, Allen Collins, Leon Wilkeson, Bob Burns, Billy Powell, Ed King, Artimus Pyle, Steve Gaines, Johnny Van Zant",2018,97,"Documentaries, Music & Musicals",netflix
TV Show,Kid Cosmic,"Jack Fisher, Tom Kenny, Amanda C. Miller, Kim Yarbrough, Keith Ferguson, Grey Griffin, Lily Rose Silver",2021,2,"Kids' TV, TV Comedies, TV Sci-Fi & Fantasy",netflix
TV Show,Octonauts: Above & Beyond,"Antonio Aakeel, Chipo Chung, Simon Foster, Teresa Gallagher, Simon Greenall, Kate Harbour, Paul Panting, Rob Rackstraw, William Vanderpuye, Helen Walsh, Keith Wickham, Andres Williams, Jo Wyatt",2021,1,"British TV Shows, Kids' TV",netflix
TV Show,On the Verge,"Julie Delpy, Elisabeth Shue, Sarah Jones, Alexia Landeau, Mathieu Demy, Troy Garity, Timm Sharp, Giovanni Ribisi",2021,1,"TV Comedies, TV Dramas",netflix
TV Show,Tobot Galaxy Detectives,"Austin Abell, Travis Turner, Cole Howard, Anna Cummer, Jesse Inocalla, Brian Dobson, Michael Adamthwaite, Joseph Girgis, Caitlyn Bairstow",2019,2,Kids' TV,netflix
Movie,Untold: Breaking Point,,2021,80,"Documentaries, Sports Movies",netflix
TV Show,Countdown: Inspiration4 Mission to Space,,2021,1,"Docuseries, Science & Nature TV",netflix
Movie,Shadow Parties,"Jide Kosoko, Omotola Jalade-Ekeinde, Yemi Blaq, Sola Sobowale, Ken Erics, Toyin Aimakhu, Segun Arinze, Jibola Dabo, Rotimi Salami, Pa Jimi Solanke, Rachael Okonkwo, Bassey Okon, Lucien Morgan, Magdalena Korpas",2020,117,"Dramas, International Movies, Thrillers",netflix
TV Show,Tayo the Little Bus,"Robyn Slade, Kami Desilets",2016,2,"Kids' TV, Korean TV Shows",netflix
Movie,Angamaly Diaries,"Antony Varghese, Reshma Rajan, Binny Rinky Benjamin, Vineeth Vishwam, Kichu Tellus, Sreekanth Dasan, Sarath Kumar, Tito Wilson, Anandhu, Bitto Davis, Sinoj Varghese",2017,128,"Action & Adventure, Comedies, Dramas",netflix
TV Show,Bunk'd,"Peyton List, Karan Brar, Skai Jackson, Miranda May, Kevin G. Quinn, Nathan Arenas, Nina Lu",2021,5,"Kids' TV, TV Comedies",netflix
Movie,A Champion Heart,"Mandy Grace, David de Vos, Donna Rusch, Devan Key, Isabella Mancuso, Ariana Guido",2018,90,"Children & Family Movies, Dramas",netflix
TV Show,Dive Club,"Aubri Ibrag, Sana'a Shaik, Miah Madden, Mercy Cornwall, Georgia-May Davis, Ryan Harrison, Josh Heuston, Alexander Grant",2021,1,"Kids' TV, TV Dramas, Teen TV Shows",netflix
TV Show,La casa de papel,"Úrsula Corberó, Itziar Ituño, Álvaro Morte, Paco Tous, Enrique Arce, Pedro Alonso, María Pedraza, Alba Flores, Miguel Herrán, Jaime Lorente, Esther Acebo, Darko Peric, Kiti Mánver",2021,5,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows",netflix
TV Show,Money Heist: From Tokyo to Berlin,,2021,1,"Docuseries, International TV Shows, Spanish-Language TV Shows",netflix
TV Show,Sharkdog,"Liam Mitchell, Dee Bradley Baker, Grey Griffin, Josh McDermitt, Kari Wahlgren, Judy Alice Lee, Ali Mawji",2021,1,Kids' TV,netflix
Movie,Worth,"Michael Keaton, Stanley Tucci, Amy Ryan, Shunori Ramanathan, Ato Blankson-Wood, Tate Donovan, Laura Benanti, Chris Tardio",2021,119,Dramas,netflix
Movie,Afterlife of the Party,"Victoria Justice, Midori Francis, Robyn Scott, Adam Garcia, Timothy Renouf, Gloria Garcia, Myfanwy Waring, Spencer Sutherland",2021,110,"Comedies, Romantic Movies",netflix
Movie,Anjaam,"Madhuri Dixit, Shah Rukh Khan, Tinnu Anand, Johny Lever, Kalpana Iyer, Himani Shivpuri, Sudha Chandran, Beena, Kiran Kumar",1994,143,"Dramas, International Movies, Thrillers",netflix
Movie,Bright Star,"Abbie Cornish, Ben Whishaw, Paul Schneider, Kerry Fox, Edie Martin, Thomas Brodie-Sangster, Claudie Blakley, Gerard Monaco, Antonia Campbell-Hughes, Samuel Roukin",2009,119,"Dramas, Romantic Movies",netflix
Movie,Dhanak,"Krrish Chhabria, Hetal Gada, Vipin Sharma, Gulfam Khan, Suresh Menon, Vijay Maurya, Rajiv Lakshman, Ninad Kamat",2015,114,"Comedies, Dramas, Independent Movies",netflix
Movie,Final Account,,2021,94,Documentaries,netflix
Movie,Gurgaon,"Akshay Oberoi, Pankaj Tripathi, Ragini Khanna, Aamir Bashir, Shalini Vatsa, Ashish Verma",2017,106,"Dramas, International Movies, Thrillers",netflix
Movie,Here and There,"Janine Gutierrez, JC Santos, Victor Anastacio, Yesh Burce, Lotlot De Leon",2020,99,"Dramas, International Movies, Romantic Movies",netflix
TV Show,Heroes of Goo Jit Zu,"Jon Allen, Kellen Goff, Joe Hernandez, Kaiji Tang",2021,1,"Kids' TV, TV Comedies",netflix
TV Show,Hotel Del Luna,"Lee Ji-eun, Yeo Jin-goo, Shin Jung-geun, Seo Yi-sook, Bae Hae-sun, Pyo Ji-hoon, Cho Hyun-chul, Kang Hong-suk, Lee Do-hyun, Lee Tae-seon, Kang Mina, Park You-na, Oh Ji-ho",2019,1,"International TV Shows, Romantic TV Shows, TV Comedies",netflix
