type,title,cast,release_year,duration,listed_in,plataform
Movie,Let There Be Light,Walter Huston,1946,58,"Classic Movies, Documentaries",netflix
TV Show,Leyla and Mecnun,"Ali Atay, Melis Birkan, Serkan Keskin, Ahmet Mümtaz Taylan, Cengiz Bozkurt, Osman Sonant, Köksal Engür, Ege Tanman, İştar Gökseven",2014,3,"International TV Shows, Romantic TV Shows, TV Comedies",netflix
Movie,Lez Bomb,"Jenna Laurenzo, Deirdre O'Connell, Brandon Michael Hall, Kevin Pollak, Elaine Hendrix, Steve Guttenberg, Cloris Leachman, Bruce Dern",2018,90,"Comedies, LGBTQ Movies",netflix
TV Show,License to Drill: Louisiana,,2014,1,Reality TV,netflix
Movie,Life After Beth,"Aubrey Plaza, Dane DeHaan, John C. Reilly, Molly Shannon, Cheryl Hines, Paul Reiser, Matthew Gray Gubler, Anna Kendrick, Paul Weitz",2014,89,"Comedies, Horror Movies, Independent Movies",netflix
Movie,Life in the Doghouse,,2018,83,"Documentaries, LGBTQ Movies",netflix
TV Show,Life on Location,David Attenborough,2009,1,"British TV Shows, Docuseries, Science & Nature TV",netflix
TV Show,Life Story,David Attenborough,2014,1,"British TV Shows, Docuseries, Science & Nature TV",netflix
Movie,Lifechanger,"Lora Burke, Jack Foley, Bill Oberst Jr., Elitsa Bako, Sam James White, Rachel Vanduzer, Steve Kasan",2018,84,"Horror Movies, Independent Movies, Thrillers",netflix
Movie,Lifeline,"Lau Ching Wan, Alex Fong, Carman Lee, Ruby Wong, Raymond Wong Ho-Yin, Damian Lau, Lam Suet, Kenneth Chan",1997,104,"Action & Adventure, International Movies",netflix
Movie,Like Arrows,"Micah Lynn Hanson, Alan Powell, Elizabeth Becka, Garry Nation, Joseph Callender, Anisa Nyell Johnson, Aowyn Grace Peoples, John Jackson Hunter, Alex Kendrick",2018,99,"Dramas, Faith & Spirituality",netflix
Movie,Like Water for Chocolate,"Marco Leonardi, Lumi Cavazos, Regina Torné, Mario Iván Martínez, Ada Carrasco, Yareli Arizmendi, Claudette Maillé, Pilar Aranda",1992,105,"Classic Movies, Dramas, International Movies",netflix
Movie,Lila & Eve,"Viola Davis, Jennifer Lopez, Andre Royo, Shea Whigham, Aml Ameen, Chris Chalk, Will Brittain, Michole Briana White, Julius Tennon, Gino Vento, Yolonda Ross",2015,94,"Dramas, Thrillers",netflix
TV Show,Limmy's Show!,"Brian Limond, Debbie Welsh, Tom Brogan, Raymond Mearns, Kirstin McLean",2012,2,"British TV Shows, TV Comedies",netflix
Movie,Lincoln,"Daniel Day-Lewis, Sally Field, David Strathairn, Joseph Gordon-Levitt, James Spader, Hal Holbrook, Tommy Lee Jones, Jackie Earle Haley, John Hawkes, Jared Harris, Joseph Cross, Tim Blake Nelson, David Oyelowo, Bruce McGill",2012,150,Dramas,netflix
Movie,Lion's Heart,"Mohamed Ramadan, Hassan Hosny, Horeya Farghaly, Sayed Rajab, Aida Reyad, Omar Mustafa Metwally, Riham Ayman, Mohsen Mansour, Afaf Rashad, Maher Essam, Sabry Fawwaz, Hamdy Heykal, Sabry Abdel Moniem",2013,111,"Action & Adventure, International Movies",netflix
Movie,Listen Up! The Lives of Quincy Jones,"Quincy Jones, Miles Davis, Ray Charles, Sheila E., Ella Fitzgerald, Flavor Flav, Aretha Franklin, Dizzy Gillespie, Lesley Gore, Herbie Hancock, Ice-T, Jesse Jackson, Michael Jackson, Frank Sinatra, Oprah Winfrey",1990,116,"Documentaries, Music & Musicals",netflix
Movie,Little Dragon Maiden,"Leslie Cheung, Jing-Jing Yung, Chen Kuan-tai, Leanne Liu, Tanny Tien Ni",1983,92,"Action & Adventure, International Movies, Romantic Movies",netflix
